Timestamp,Left Pupil,Right Pupil
15:02:00.704661,"(180, 165)","(249, 163)"
15:02:00.817223,"(180, 165)","(249, 163)"
15:02:00.922623,"(180, 165)","(249, 163)"
15:02:01.032219,"(180, 165)","(249, 163)"
15:02:01.140053,"(180, 165)","(249, 163)"
15:02:01.254115,"(180, 165)","(249, 164)"
15:02:01.363845,"(180, 165)","(249, 164)"
15:02:01.467476,"(180, 165)","(249, 164)"
15:02:01.578693,"(180, 166)","(249, 164)"
15:02:01.704071,"(180, 166)","(249, 164)"
15:02:01.808654,"(179, 166)","(249, 164)"
15:02:01.924619,"(178, 166)","(248, 164)"
15:02:02.058750,"(178, 167)","(247, 165)"
15:02:02.183669,"(178, 168)","(247, 165)"
15:02:02.320706,"(178, 169)","(247, 166)"
15:02:02.453767,"(179, 169)","(247, 166)"
15:02:02.591218,"(179, 169)","(248, 166)"
15:02:02.735744,"(179, 169)","(248, 166)"
15:02:02.864314,"(179, 168)","(248, 166)"
15:02:02.987101,"(188, 168)","(256, 164)"
15:02:03.106539,"(193, 167)","(261, 163)"
15:02:03.234084,"(195, 167)","(262, 163)"
15:02:03.579298,"(195, 167)","(262, 163)"
15:02:04.005712,"(194, 166)","(261, 163)"
15:02:04.131931,"(194, 166)","(261, 163)"
15:02:04.256895,"(194, 166)","(261, 163)"
15:02:04.386743,"(194, 166)","(261, 163)"
15:02:04.521008,"(193, 167)","(261, 164)"
15:02:04.714998,"(193, 167)","(260, 164)"
15:02:04.885560,"(193, 166)","(260, 164)"
15:02:05.136015,"(192, 166)","(260, 163)"
15:02:05.273315,"(191, 167)","(259, 164)"
15:02:05.432078,"(185, 168)","(253, 165)"
15:02:05.572370,"(184, 169)","(253, 166)"
15:02:05.707588,"(183, 168)","(252, 166)"
15:02:05.846580,"(183, 168)","(251, 166)"
15:02:05.985171,"(183, 168)","(251, 166)"
15:02:06.122673,,
15:02:06.245288,"(183, 170)","(250, 167)"
15:02:06.392733,"(189, 168)","(256, 166)"
15:02:06.532809,"(189, 168)","(256, 165)"
15:02:06.691635,"(190, 168)","(258, 165)"
15:02:06.863915,"(190, 167)","(258, 165)"
15:02:06.992007,"(190, 167)","(257, 164)"
15:02:07.137970,"(190, 167)","(258, 164)"
15:02:07.273900,"(190, 167)","(258, 164)"
15:02:07.421723,"(190, 167)","(258, 164)"
15:02:07.547348,"(190, 167)","(257, 164)"
15:02:07.675442,"(190, 167)","(257, 164)"
15:02:07.814468,,
15:02:08.014864,"(188, 168)","(255, 166)"
15:02:08.197509,"(185, 169)","(253, 166)"
15:02:08.387753,"(183, 168)","(251, 166)"
15:02:08.590731,"(181, 167)","(249, 165)"
15:02:08.776071,"(183, 166)","(251, 163)"
15:02:08.977067,"(189, 165)","(256, 162)"
