timestamps,TP9,AF7,AF8,TP10,Right AUX
1691171862.437,-30.273,-633.301,-32.715,-33.203,0.000
1691171862.441,-26.367,-1000.000,-33.203,-31.738,0.000
1691171862.445,-19.043,-608.887,-33.691,-15.625,0.000
1691171862.448,-13.184,49.316,-43.945,-4.883,0.000
1691171862.452,-11.230,-559.570,-48.340,-23.438,0.000
1691171862.456,7.324,-1000.000,-40.039,-27.344,0.000
1691171862.460,4.395,-900.391,-35.156,2.441,0.000
1691171862.464,-39.062,-411.133,-34.668,38.086,0.000
1691171862.468,-51.270,-604.004,-29.785,19.531,0.000
1691171862.472,-28.809,-1000.000,-36.621,0.488,0.000
1691171862.476,-16.113,-934.082,-35.156,-1.953,0.000
1691171862.480,-3.418,-308.105,-31.250,-0.488,0.000
1691171862.484,10.254,-288.574,-50.293,-4.395,0.000
1691171862.488,-4.883,-863.281,-56.641,-21.973,0.000
1691171862.491,3.418,-1000.000,-39.062,-8.789,0.000
1691171862.495,5.859,-726.074,-18.555,21.973,0.000
1691171862.499,-22.949,-271.484,-28.320,16.602,0.000
1691171862.503,-33.691,-654.785,-42.480,-10.254,0.000
1691171862.507,-47.852,-1000.000,-45.410,-16.602,0.000
1691171862.511,-13.184,-900.391,-54.688,2.441,0.000
1691171862.515,8.301,-626.465,-58.105,17.090,0.000
1691171862.519,-21.973,-688.477,-56.641,5.371,0.000
1691171862.523,11.719,-1000.000,-34.668,-18.066,0.000
1691171862.527,28.320,-998.047,-28.320,-4.395,0.000
1691171862.530,-2.930,-152.344,-37.598,-9.766,0.000
1691171862.534,-14.648,-34.180,-46.387,-28.809,0.000
1691171862.538,-1.465,-881.836,-44.922,-25.391,0.000
1691171862.542,-1.465,-1000.000,-49.805,-46.875,0.000
1691171862.546,0.000,-173.340,-66.895,-42.480,0.000
1691171862.550,0.488,99.121,-47.363,-36.621,0.000
1691171862.554,-5.859,-797.852,-39.062,-50.781,0.000
1691171862.558,-7.324,-1000.000,-25.391,-15.137,0.000
1691171862.562,-2.441,-512.695,-19.531,48.828,0.000
1691171862.566,20.020,297.363,-45.410,40.527,0.000
1691171862.570,-37.598,-308.594,-58.594,-35.645,0.000
1691171862.573,-82.520,-1000.000,-55.176,-64.453,0.000
1691171862.577,-81.543,-674.316,-65.430,-51.270,0.000
1691171862.581,-85.449,270.508,-75.195,-73.730,0.000
1691171862.585,-113.770,-296.387,-83.496,-125.977,0.000
1691171862.589,-132.812,-1000.000,-83.496,-147.461,0.000
1691171862.593,-120.605,-785.645,-83.496,-125.488,0.000
1691171862.597,-121.094,140.625,-94.238,-124.512,0.000
1691171862.601,-131.836,-125.488,-104.004,-160.645,0.000
1691171862.605,-127.441,-1000.000,-123.535,-162.598,0.000
1691171862.609,-129.883,-947.266,-124.512,-146.484,0.000
1691171862.612,-92.773,-47.363,-106.934,-117.676,0.000
1691171862.616,-89.355,72.754,-101.562,-111.816,0.000
1691171862.620,-110.840,-768.066,-96.680,-127.441,0.000
1691171862.624,-105.469,-960.449,-86.426,-127.441,0.000
1691171862.628,-59.082,-418.457,-71.289,-85.938,0.000
1691171862.632,-24.902,65.430,-67.871,-45.410,0.000
1691171862.636,-49.805,-427.246,-81.055,-73.242,0.000
1691171862.640,-57.617,-905.762,-86.426,-87.402,0.000
1691171862.644,-37.109,-635.254,-89.355,-51.270,0.000
1691171862.648,-11.230,-156.250,-89.355,-15.625,0.000
1691171862.652,-20.508,-499.512,-80.566,-40.527,0.000
1691171862.655,-21.484,-972.168,-67.383,-59.570,0.000
1691171862.659,-2.441,-923.340,-60.547,-39.551,0.000
1691171862.663,20.996,-573.242,-63.477,-18.066,0.000
1691171862.667,-13.672,-383.301,-62.012,-22.949,0.000
1691171862.671,-39.062,-710.938,-61.523,-49.316,0.000
1691171862.675,0.000,-1000.000,-57.129,-40.527,0.000
1691171862.679,0.000,-636.719,-51.270,-13.184,0.000
1691171862.683,0.000,-76.172,-52.246,-9.277,0.000
1691171862.687,0.000,-622.070,-48.828,-21.973,0.000
1691171862.691,0.000,-1000.000,-50.781,-32.715,0.000
1691171862.695,0.000,-752.441,-43.945,-4.883,0.000
1691171862.698,0.000,-145.020,-25.391,23.926,0.000
1691171862.702,0.000,-418.457,-39.062,1.465,0.000
1691171862.706,0.000,-1000.000,-52.246,-30.273,0.000
1691171862.710,0.000,-845.215,-47.363,-19.531,0.000
1691171862.714,0.000,47.363,-47.852,7.812,0.000
1691171862.718,0.000,-48.828,-42.480,-5.371,0.000
1691171862.722,-24.902,-916.992,-35.156,-34.180,0.000
1691171862.726,-20.508,-958.984,-28.809,-33.691,0.000
1691171862.730,6.836,-59.570,-26.367,-2.930,0.000
1691171862.734,5.859,116.211,-25.879,6.348,0.000
1691171862.738,-13.184,-764.160,-18.555,-15.137,0.000
1691171862.741,-27.344,-1000.000,-28.809,-30.273,0.000
1691171862.745,-0.488,-586.914,-35.645,-13.184,0.000
1691171862.749,19.043,-122.070,-37.109,-6.836,0.000
1691171862.753,0.488,-697.754,-44.434,-15.137,0.000
1691171862.757,-19.531,-1000.000,-33.691,-30.762,0.000
1691171862.761,-22.461,-549.805,-10.254,-28.320,0.000
1691171862.765,3.418,194.824,-18.066,6.348,0.000
1691171862.769,-1.465,-398.926,-42.480,-10.254,0.000
1691171862.773,-37.109,-1000.000,-39.551,-28.809,0.000
1691171862.777,-54.199,-801.270,-32.227,-39.551,0.000
1691171862.781,-20.020,-72.266,-19.531,-11.230,0.000
1691171862.784,14.648,-242.188,-16.602,6.836,0.000
1691171862.788,-11.719,-924.316,-36.621,-35.156,0.000
1691171862.792,-48.340,-999.023,-36.621,-49.805,0.000
1691171862.796,-27.832,-565.918,-20.996,-13.672,0.000
1691171862.800,-7.812,-542.969,-18.066,-2.441,0.000
1691171862.804,-26.367,-791.992,-24.902,-37.598,0.000
1691171862.808,-21.973,-940.918,-23.438,-40.527,0.000
1691171862.812,3.906,-581.543,-21.484,-4.883,0.000
1691171862.816,-19.531,88.379,-29.297,-2.441,0.000
1691171862.820,-12.207,-227.539,-35.156,-34.180,0.000
1691171862.823,-8.789,-938.477,-30.762,-26.367,0.000
1691171862.827,-45.410,-781.250,-20.508,0.488,0.000
1691171862.831,-26.855,48.340,-19.531,4.883,0.000
1691171862.835,-24.902,-347.168,-27.344,-9.277,0.000
1691171862.839,-37.598,-1000.000,-27.344,-28.320,0.000
1691171862.843,-23.926,-1000.000,-23.438,-17.090,0.000
1691171862.847,-4.883,-304.688,-21.484,9.277,0.000
1691171862.851,-0.977,143.555,-23.438,-15.137,0.000
1691171862.855,-15.625,-796.387,-24.902,-34.668,0.000
1691171862.859,-24.902,-1000.000,-34.668,-33.691,0.000
1691171862.863,-0.488,-63.477,-34.668,-2.930,0.000
1691171862.866,-12.207,197.754,-33.203,-2.930,0.000
1691171862.870,-36.621,-758.301,-44.922,-31.738,0.000
1691171862.874,-25.391,-1000.000,-36.621,-8.301,0.000
1691171862.878,-13.184,-403.809,-13.184,4.883,0.000
1691171862.882,-16.602,114.258,-8.301,-13.184,0.000
1691171862.886,-5.371,-508.789,-22.949,-27.832,0.000
1691171862.890,4.883,-1000.000,-37.109,-28.320,0.000
1691171862.894,-25.879,-654.785,-35.156,3.906,0.000
1691171862.898,-25.879,331.055,-21.973,33.691,0.000
1691171862.902,-31.250,-135.742,-27.344,-26.855,0.000
1691171862.905,-42.969,-1000.000,-29.297,-69.824,0.000
1691171862.909,-13.672,-970.215,-23.926,-40.527,0.000
1691171862.913,-3.418,-138.672,-17.578,-10.742,0.000
1691171862.917,-14.648,11.719,-18.066,-30.273,0.000
1691171862.921,-20.020,-703.125,-27.344,-42.969,0.000
1691171862.925,-33.691,-933.594,-35.156,-22.949,0.000
1691171862.929,-20.996,-400.879,-32.715,-8.789,0.000
1691171862.933,-10.742,-337.402,-29.785,-10.742,0.000
1691171862.937,-36.133,-980.469,-37.109,-35.156,0.000
1691171862.941,-48.828,-949.707,-49.805,-35.645,0.000
1691171862.945,-20.508,-530.273,-30.273,-6.348,0.000
1691171862.948,9.766,80.078,-17.578,21.973,0.000
1691171862.952,10.254,-221.680,-26.367,5.859,0.000
1691171862.956,0.000,-873.535,-23.438,-59.082,0.000
1691171862.960,0.000,-872.559,-18.066,-78.125,0.000
1691171862.964,0.000,-217.285,-11.719,-59.082,0.000
1691171862.968,0.000,-191.406,-20.020,-106.445,0.000
1691171862.972,0.000,-718.262,-28.809,-138.672,0.000
1691171862.976,0.000,-1000.000,-20.996,-127.441,0.000
1691171862.980,0.000,-605.957,-2.441,-125.977,0.000
1691171862.984,0.000,51.758,0.000,-150.879,0.000
