Timestamp,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1691171844.89094,0.2,0.02,0.08,0.0,0.16,0.05,0.5
1691171845.002917,0.09,0.01,0.07,0.0,0.13,0.03,0.66
1691171845.101952,0.1,0.0,0.14,0.0,0.11,0.11,0.53
1691171845.203251,0.1,0.0,0.27,0.0,0.11,0.12,0.4
1691171845.294248,0.11,0.0,0.28,0.0,0.12,0.07,0.41
1691171845.389057,0.11,0.01,0.17,0.0,0.13,0.07,0.5
1691171845.484205,0.16,0.01,0.17,0.0,0.17,0.04,0.44
1691171845.570032,0.16,0.01,0.17,0.0,0.17,0.04,0.44
1691171845.669872,0.1,0.0,0.22,0.0,0.19,0.07,0.42
1691171845.757423,0.14,0.0,0.19,0.0,0.13,0.1,0.43
1691171845.855416,0.08,0.0,0.21,0.0,0.14,0.17,0.4
1691171845.947274,0.26,0.01,0.1,0.0,0.04,0.12,0.47
1691171846.035589,0.22,0.0,0.15,0.0,0.06,0.1,0.47
1691171846.128768,0.28,0.0,0.1,0.0,0.04,0.06,0.51
1691171846.222126,0.29,0.0,0.15,0.0,0.05,0.09,0.41
1691171846.431953,0.23,0.0,0.15,0.0,0.02,0.12,0.47
1691171846.514854,0,0,0,0,0,0,0
1691171846.590863,0,0,0,0,0,0,0
1691171846.694408,0.13,0.0,0.14,0.0,0.14,0.06,0.53
1691171846.784275,0.05,0.0,0.19,0.0,0.15,0.14,0.46
1691171846.876958,0.13,0.01,0.16,0.0,0.15,0.06,0.49
1691171846.969869,0.13,0.01,0.17,0.0,0.14,0.06,0.49
1691171847.065338,0.13,0.01,0.17,0.0,0.14,0.06,0.49
1691171847.155886,0.14,0.0,0.12,0.0,0.04,0.22,0.48
1691171847.246898,0.14,0.0,0.12,0.0,0.04,0.22,0.48
1691171847.341022,0.25,0.0,0.15,0.0,0.15,0.05,0.4
1691171847.439657,0.09,0.0,0.12,0.0,0.12,0.09,0.58
1691171847.526814,0.13,0.0,0.14,0.0,0.13,0.08,0.52
1691171847.619114,0.2,0.0,0.13,0.0,0.19,0.15,0.32
1691171847.714602,0.2,0.0,0.13,0.0,0.19,0.15,0.32
1691171847.805261,0.2,0.0,0.22,0.0,0.18,0.09,0.31
1691171847.902906,0.11,0.01,0.17,0.0,0.1,0.17,0.44
1691171847.992925,0.13,0.01,0.16,0.0,0.15,0.25,0.3
1691171848.088463,0.14,0.01,0.14,0.0,0.15,0.17,0.38
1691171848.178702,0.08,0.0,0.14,0.01,0.16,0.1,0.52
1691171848.276004,0.18,0.0,0.11,0.01,0.16,0.06,0.48
1691171848.36527,0.14,0.0,0.16,0.0,0.18,0.13,0.39
1691171848.461556,0.1,0.0,0.15,0.0,0.14,0.08,0.52
1691171848.559784,0.11,0.01,0.18,0.0,0.16,0.09,0.45
1691171848.65136,0.17,0.02,0.19,0.0,0.1,0.26,0.26
1691171848.747001,0.17,0.02,0.18,0.0,0.08,0.21,0.34
1691171848.842032,0.15,0.02,0.11,0.01,0.09,0.18,0.44
1691171848.939674,0.1,0.01,0.08,0.0,0.11,0.1,0.6
1691171849.033019,0.14,0.02,0.08,0.0,0.08,0.14,0.53
1691171849.141008,0.09,0.0,0.06,0.0,0.08,0.07,0.7
1691171849.234102,0.11,0.0,0.12,0.0,0.1,0.12,0.54
1691171849.324171,0.08,0.0,0.06,0.0,0.08,0.14,0.64
1691171849.415386,0.08,0.0,0.06,0.0,0.08,0.14,0.64
1691171849.509177,0.2,0.01,0.08,0.0,0.11,0.05,0.54
1691171849.599202,0.12,0.01,0.07,0.0,0.08,0.09,0.61
1691171849.693194,0.09,0.0,0.14,0.0,0.1,0.18,0.49
1691171849.789982,0.14,0.01,0.06,0.0,0.12,0.05,0.62
1691171849.883397,0.05,0.0,0.06,0.0,0.09,0.04,0.75
1691171849.974002,0.19,0.01,0.11,0.0,0.09,0.15,0.45
1691171850.070034,0.05,0.0,0.06,0.0,0.08,0.02,0.79
1691171850.167902,0.06,0.0,0.06,0.0,0.07,0.04,0.77
1691171850.261974,0.05,0.01,0.06,0.01,0.09,0.02,0.76
1691171850.374359,0.06,0.0,0.08,0.0,0.07,0.02,0.77
1691171850.477977,0.13,0.0,0.06,0.0,0.08,0.03,0.69
1691171850.569624,0.1,0.01,0.05,0.0,0.02,0.05,0.78
1691171850.664342,0.12,0.0,0.04,0.0,0.03,0.01,0.79
1691171850.754841,0.14,0.01,0.05,0.0,0.03,0.01,0.76
1691171850.847894,0.15,0.01,0.06,0.0,0.04,0.02,0.73
1691171850.937527,0.1,0.0,0.02,0.0,0.03,0.01,0.85
1691171851.028644,0.08,0.0,0.03,0.0,0.03,0.01,0.84
1691171851.123036,0.09,0.0,0.02,0.0,0.03,0.01,0.84
1691171851.218466,0.11,0.0,0.05,0.01,0.03,0.04,0.76
1691171851.309987,0.09,0.0,0.04,0.01,0.08,0.04,0.74
1691171851.401206,0.09,0.0,0.04,0.01,0.08,0.04,0.74
