Timestamp,Left Pupil,Right Pupil
1691171844.89094,"(328, 193)","(392, 194)"
1691171845.002917,"(329, 193)","(392, 194)"
1691171845.101952,"(329, 193)","(393, 195)"
1691171845.203251,"(330, 193)","(394, 195)"
1691171845.294248,"(331, 193)","(394, 195)"
1691171845.389057,"(331, 192)","(395, 195)"
1691171845.484205,"(331, 192)","(394, 195)"
1691171845.570032,"(331, 192)","(394, 195)"
1691171845.669872,"(331, 192)","(394, 195)"
1691171845.757423,"(331, 192)","(394, 195)"
1691171845.855416,"(329, 192)","(393, 194)"
1691171845.947274,"(327, 192)","(391, 194)"
1691171846.035589,"(327, 191)","(391, 194)"
1691171846.128768,"(327, 192)","(390, 193)"
1691171846.222126,"(328, 192)","(391, 195)"
1691171846.431953,"(328, 191)","(392, 194)"
1691171846.514854,,
1691171846.590863,,
1691171846.694408,"(330, 193)","(393, 195)"
1691171846.784275,"(330, 193)","(393, 195)"
1691171846.876958,"(330, 192)","(394, 195)"
1691171846.969869,"(330, 192)","(394, 194)"
1691171847.065338,"(330, 192)","(394, 194)"
1691171847.155886,"(331, 192)","(395, 195)"
1691171847.246898,"(331, 192)","(395, 195)"
1691171847.341022,"(331, 192)","(395, 195)"
1691171847.439657,"(332, 193)","(396, 195)"
1691171847.526814,"(332, 193)","(396, 195)"
1691171847.619114,"(331, 194)","(395, 197)"
1691171847.714602,"(331, 194)","(395, 197)"
1691171847.805261,"(331, 194)","(395, 197)"
1691171847.902906,"(331, 194)","(395, 196)"
1691171847.992925,"(331, 194)","(395, 197)"
1691171848.088463,"(332, 195)","(396, 197)"
1691171848.178702,"(333, 195)","(397, 198)"
1691171848.276004,"(334, 194)","(398, 197)"
1691171848.36527,"(334, 193)","(398, 197)"
1691171848.461556,"(334, 193)","(398, 197)"
1691171848.559784,"(334, 193)","(398, 198)"
1691171848.65136,"(333, 193)","(398, 197)"
1691171848.747001,"(333, 193)","(397, 198)"
1691171848.842032,"(329, 195)","(393, 199)"
1691171848.939674,"(328, 196)","(393, 200)"
1691171849.033019,"(328, 196)","(392, 200)"
1691171849.141008,"(328, 196)","(392, 200)"
1691171849.234102,"(329, 196)","(393, 200)"
1691171849.324171,"(328, 196)","(393, 201)"
1691171849.415386,"(328, 196)","(393, 201)"
1691171849.509177,"(328, 196)","(392, 201)"
1691171849.599202,"(328, 196)","(392, 201)"
1691171849.693194,"(328, 197)","(392, 202)"
1691171849.789982,"(328, 197)","(391, 201)"
1691171849.883397,"(327, 197)","(392, 201)"
1691171849.974002,"(327, 196)","(392, 200)"
1691171850.070034,"(327, 195)","(392, 200)"
1691171850.167902,"(327, 195)","(391, 199)"
1691171850.261974,"(325, 195)","(390, 199)"
1691171850.374359,"(324, 195)","(388, 199)"
1691171850.477977,"(322, 196)","(386, 200)"
1691171850.569624,"(321, 196)","(386, 200)"
1691171850.664342,"(320, 196)","(385, 200)"
1691171850.754841,"(320, 196)","(384, 200)"
1691171850.847894,"(320, 196)","(384, 200)"
1691171850.937527,"(320, 196)","(384, 200)"
1691171851.028644,"(319, 196)","(384, 200)"
1691171851.123036,,
1691171851.218466,,
1691171851.309987,"(320, 197)","(384, 200)"
1691171851.401206,"(320, 197)","(384, 200)"
1691171851.494739,"(319, 196)","(384, 200)"
1691171851.588236,"(319, 196)","(384, 199)"
1691171851.682667,"(319, 196)","(384, 199)"
1691171851.775087,"(320, 196)","(384, 199)"
1691171851.867823,"(320, 196)","(384, 199)"
1691171851.964334,"(320, 195)","(384, 199)"
1691171852.055987,"(320, 196)","(385, 199)"
1691171852.146739,"(320, 196)","(384, 199)"
1691171852.24073,"(320, 196)","(385, 199)"
1691171852.344221,"(320, 196)","(385, 199)"
1691171852.452422,"(320, 195)","(385, 198)"
1691171852.551487,"(321, 194)","(385, 198)"
1691171852.654391,"(322, 193)","(386, 197)"
1691171852.748956,"(322, 192)","(386, 196)"
1691171852.855599,"(322, 188)","(386, 191)"
1691171852.96224,,
1691171853.073319,,
1691171853.173104,,
1691171853.285184,,
1691171853.388174,,
1691171853.4988,,
1691171853.605387,"(312, 184)","(375, 183)"
1691171853.711949,"(318, 182)","(380, 180)"
1691171853.803863,"(320, 181)","(382, 179)"
1691171853.896968,"(325, 177)","(387, 177)"
1691171853.987126,"(328, 176)","(391, 178)"
1691171854.079452,"(333, 176)","(393, 179)"
1691171854.172752,"(337, 179)","(397, 181)"
1691171854.268068,"(338, 181)","(399, 181)"
1691171854.365503,"(333, 182)","(395, 184)"
1691171854.4769,"(338, 184)","(401, 186)"
1691171854.586033,,
1691171854.688897,,
1691171854.794856,,
1691171854.890452,,
1691171855.010516,"(361, 193)","(423, 197)"
1691171855.105767,"(357, 190)","(419, 197)"
1691171855.198194,"(355, 189)","(418, 197)"
1691171855.295296,"(355, 189)","(417, 198)"
1691171855.388816,"(354, 190)","(417, 198)"
1691171855.506079,"(352, 192)","(415, 200)"
1691171855.626927,"(352, 193)","(415, 201)"
1691171855.705837,"(349, 194)","(412, 203)"
1691171855.835684,"(347, 195)","(411, 203)"
1691171855.932187,"(345, 195)","(409, 203)"
1691171856.048507,"(340, 196)","(404, 203)"
1691171856.176885,"(338, 196)","(402, 203)"
1691171856.305836,"(335, 196)","(399, 202)"
1691171856.43764,"(332, 196)","(397, 203)"
1691171856.561106,"(330, 197)","(395, 204)"
1691171856.681812,"(327, 198)","(392, 205)"
1691171856.802687,"(326, 199)","(391, 206)"
1691171856.916959,"(326, 199)","(391, 206)"
1691171857.031814,"(324, 201)","(389, 209)"
1691171857.147099,"(320, 202)","(386, 209)"
1691171857.27,"(317, 204)","(382, 210)"
