Timestamp,Left Pupil,Right Pupil
1691177121.018347,"(323, 197)","(382, 197)"
1691177121.130874,"(322, 196)","(382, 196)"
1691177121.236136,"(321, 195)","(381, 195)"
1691177121.33149,"(321, 196)","(381, 196)"
1691177121.437276,"(321, 199)","(381, 199)"
1691177121.526531,"(321, 199)","(381, 199)"
1691177121.619463,"(320, 200)","(380, 199)"
1691177121.712846,"(319, 200)","(379, 199)"
1691177121.808114,"(319, 200)","(379, 199)"
1691177121.898137,"(316, 199)","(376, 199)"
1691177121.992766,"(315, 199)","(375, 199)"
1691177122.086012,"(314, 200)","(374, 200)"
1691177122.180695,"(313, 201)","(374, 200)"
1691177122.271849,"(313, 201)","(373, 200)"
1691177122.364951,"(313, 201)","(373, 200)"
1691177122.585051,"(313, 202)","(374, 201)"
1691177122.676961,"(313, 202)","(374, 201)"
1691177122.768296,"(313, 202)","(374, 201)"
1691177122.85841,"(313, 202)","(374, 201)"
1691177122.960243,"(314, 202)","(374, 201)"
1691177123.0451,"(314, 202)","(374, 201)"
1691177123.139636,,
1691177123.231864,,
1691177123.324978,"(314, 202)","(373, 200)"
1691177123.420489,"(312, 201)","(372, 200)"
1691177123.511479,"(313, 203)","(372, 200)"
1691177123.605423,"(313, 202)","(372, 200)"
1691177123.695018,"(312, 202)","(372, 200)"
1691177123.789432,"(313, 203)","(373, 200)"
1691177123.885968,"(313, 202)","(373, 200)"
1691177123.976364,"(315, 202)","(375, 200)"
1691177124.071734,"(316, 202)","(375, 200)"
1691177124.158896,"(316, 202)","(376, 200)"
1691177124.254058,"(313, 201)","(372, 199)"
1691177124.351013,"(311, 201)","(372, 199)"
1691177124.442165,"(311, 201)","(372, 199)"
1691177124.546205,"(311, 200)","(371, 198)"
1691177124.659562,"(311, 200)","(371, 198)"
1691177124.750312,"(311, 201)","(371, 199)"
1691177124.846001,"(311, 201)","(371, 199)"
1691177124.935407,"(311, 201)","(371, 199)"
1691177125.028693,"(312, 200)","(372, 198)"
1691177125.12306,"(313, 201)","(373, 198)"
1691177125.216401,"(314, 201)","(373, 199)"
1691177125.310681,"(314, 201)","(373, 199)"
1691177125.39766,"(312, 201)","(373, 199)"
1691177125.492962,"(313, 201)","(373, 199)"
1691177125.587373,"(312, 201)","(372, 199)"
1691177125.680521,"(312, 201)","(373, 199)"
1691177125.773432,"(312, 201)","(372, 199)"
1691177125.861792,"(312, 201)","(372, 199)"
